state,positive_cases,total_tests,percentage_positive
ID,135233.0,534632.0,25.29459516078349
IL,930849.0,12881938.0,7.226001242980676
IN,488180.0,5484835.0,8.900541219562667
KS,209689.0,962204.0,21.792572053327568
KY,250280.0,3061692.0,8.174564913779701
LA,296499.0,4075822.0,7.2745816672072525
MA,341925.0,10514045.0,3.2520785292435024
MD,263160.0,5507948.0,4.777822884311908
ME,21547.0,1068529.0,2.016510548614029
MI,508449.0,7850048.0,6.477017720146424
MN,404403.0,5141662.0,7.865219456276979
MO,378887.0,3555031.0,10.65776922901657
MP,118.0,17547.0,0.6724796261469197
MS,204178.0,1331836.0,15.330566225871653
MT,78929.0,771693.0,10.22803109526716
NC,494511.0,6547998.0,7.552094548593326
ND,90948.0,1218701.0,7.462700038811818
NE,160357.0,1690283.0,9.486991231645824
NH,38902.0,992283.0,3.920454144634142
NJ,501097.0,7506560.0,6.6754545357660495
NM,136622.0,1912551.0,7.143443495101569
NV,214064.0,2013939.0,10.629120345750295
NY,903716.0,24296753.0,3.719492888617668
OH,653650.0,7468945.0,8.751570670288777
OK,272553.0,2587225.0,10.53456889137976
OR,107718.0,2537482.0,4.245074447818744
PA,597560.0,3804439.0,15.7069150011342
PR,71424.0,377396.0,18.92547880740654
RI,83982.0,1926297.0,4.359763837040705
SC,285028.0,2998755.0,9.504877857644257
SD,96546.0,366510.0,26.341982483424736
TN,546497.0,5473851.0,9.983775590530323
TX,1657857.0,13250571.0,12.511589123215897
UT,260589.0,2171768.0,11.998933587749704
VA,327993.0,4070000.0,8.058796068796068
VI,1979.0,35184.0,5.6247157798999545
VT,6781.0,671230.0,1.0102349418232202
WA,233093.0,3649210.0,6.38749208732849
WI,505345.0,5218324.0,9.68404798168914
WV,78836.0,1450024.0,5.436875527577475
WY,42664.0,478351.0,8.918973724315409
AK,43629.0,1227735.0,3.5536170264755835
AL,338801.0,1824681.0,18.567683885566847
AR,211145.0,1989073.0,10.615246398699293
AS,0.0,2140.0,0.0
AZ,480319.0,4787230.0,10.033338694819342
CA,2003146.0,30769749.0,6.510114853390582
CO,319530.0,4197950.0,7.61157231505854
CT,172743.0,4125079.0,4.187628891470927
DC,27436.0,856781.0,3.202218536592198
DE,53015.0,921583.0,5.752601773253196
FL,1226530.0,15093456.0,8.126236959911633
GA,531954.0,5135306.0,10.358759536432688
GU,7266.0,94682.0,7.67410912317019
HI,21048.0,786641.0,2.6756805200847658
IA,233881.0,1157711.0,20.20201932952179
ID,133985.0,532715.0,25.15134734332617
IL,925107.0,12782980.0,7.237021414411976
